Weld,Image,GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,BurnThru,Concavity,Good,Porosity,Skip,AD_Decision,CL_Decision,AD_ClassID,CL_ClassID,GT_Label_Num,RegionRow,RegionCol,RegionAreaFrac,CL_ConfMax,CL_ConfMargin,SegThresh,ClassThresh
WL10,C:/Users/QuinnMazaris/Desktop/Stacking/DataSet/Good/WL10/WL10_full_10492225072120217_Cam1C2_2025-03-17-01-12-21-83.png,Good,0.40507,15429,0.40507,15,0.546027,0.3193,0.122017,0.011058,0.001598,Bad,Good,1,0,0,103.963316,128.327176,0.235428,0.546027,0.226727,0.092,0.117
WL10,C:/Users/QuinnMazaris/Desktop/Stacking/DataSet/Good/WL10/WL10_full_10492225072120217_Cam1C2_2025-03-17-01-59-15-06.png,Good,0.438561,18111,0.438561,10,0.715993,0.227685,0.046509,0.008751,0.001062,Bad,Good,1,0,0,105.177958,125.971951,0.276352,0.715993,0.488308,0.092,0.117
WL10,C:/Users/QuinnMazaris/Desktop/Stacking/DataSet/Good/WL10/WL10_full_10492225072120217_Cam1C2_2025-03-17-03-03-15-89.png,Good,0.521693,14394,0.521693,14,0.465733,0.263463,0.250869,0.018668,0.001267,Bad,Bad,1,1,0,94.219397,113.541892,0.219635,0.465733,0.20227,0.092,0.117
WL10,C:/Users/QuinnMazaris/Desktop/Stacking/DataSet/Good/WL10/WL10_full_10492225072130202_Cam1C2_2025-03-17-01-07-26-96.png,Good,0.401923,19058,0.401923,9,0.936306,0.03509,0.016938,0.009693,0.001973,Bad,Good,1,0,0,96.73397,106.512278,0.290802,0.936306,0.901215,0.092,0.117
WL10,C:/Users/QuinnMazaris/Desktop/Stacking/DataSet/Good/WL10/WL10_full_10492225072130202_Cam1C2_2025-03-17-02-09-46-50.png,Good,0.354175,17063,0.354175,10,0.89205,0.069243,0.027555,0.008963,0.002189,Bad,Good,1,0,0,94.649827,96.294028,0.260361,0.89205,0.822806,0.092,0.117
WL10,C:/Users/QuinnMazaris/Desktop/Stacking/DataSet/Good/WL10/WL10_full_10492225072131517_Cam1C2_2025-03-17-12-58-38-16.png,Good,0.265511,11747,0.265511,15,0.496444,0.410388,0.052069,0.038257,0.002841,Bad,Good,1,0,0,145.842939,125.026475,0.179245,0.496444,0.086057,0.092,0.117
WL10,C:/Users/QuinnMazaris/Desktop/Stacking/DataSet/Good/WL10/WL10_full_10492225072155555_Cam1C2_2025-03-17-02-08-53-27.png,Good,0.237709,5545,0.237709,7,0.994396,0.003331,0.001419,0.000656,0.000199,Bad,Good,1,0,0,120.38936,140.060595,0.08461,0.994396,0.991065,0.092,0.117
WL10,C:/Users/QuinnMazaris/Desktop/Stacking/DataSet/Good/WL10/WL10_full_10492225072155555_Cam1C2_2025-03-17-02-29-31-24.png,Good,0.250706,5469,0.250706,8,0.992954,0.004014,0.001852,0.000919,0.000261,Bad,Good,1,0,0,113.086305,140.339367,0.08345,0.992954,0.98894,0.092,0.117
WL10,C:/Users/QuinnMazaris/Desktop/Stacking/DataSet/Good/WL10/WL10_full_10492225072155555_Cam1C2_2025-03-17-12-59-35-32.png,Good,0.24916,4843,0.24916,9,0.994755,0.003115,0.001269,0.000653,0.000208,Bad,Good,1,0,0,108.823044,140.121206,0.073898,0.994755,0.99164,0.092,0.117
WL10,C:/Users/QuinnMazaris/Desktop/Stacking/DataSet/Good/WL10/WL10_full_10492225072160740_Cam1C2_2025-03-17-01-50-18-76.png,Good,0.311156,5038,0.311156,3,0.619614,0.231925,0.144372,0.002804,0.001284,Bad,Bad,1,1,0,80.675466,130.068281,0.076874,0.619614,0.387689,0.092,0.117
WL10,C:/Users/QuinnMazaris/Desktop/Stacking/DataSet/Good/WL10/WL10_full_10492225072160740_Cam1C2_2025-03-17-03-12-01-86.png,Good,0.346765,4794,0.346765,6,0.647493,0.19952,0.148466,0.002999,0.001523,Bad,Bad,1,1,0,76.172924,130.486441,0.073151,0.647493,0.447973,0.092,0.117
WL10,C:/Users/QuinnMazaris/Desktop/Stacking/DataSet/Good/WL10/WL10_full_10492225072160740_Cam1C2_2025-03-17-03-13-04-70.png,Good,0.286051,5197,0.286051,8,0.531291,0.290326,0.173339,0.003177,0.001867,Bad,Bad,1,1,0,81.201847,131.792957,0.0793,0.531291,0.240964,0.092,0.117
WL10,C:/Users/QuinnMazaris/Desktop/Stacking/DataSet/Good/WL10/WL10_full_10492225072173157_Cam1C2_2025-03-17-01-16-04-73.png,Good,0.282579,13548,0.282579,11,0.964258,0.020588,0.012572,0.001959,0.000623,Bad,Good,1,0,0,127.336729,141.959035,0.206726,0.964258,0.94367,0.092,0.117
WL10,C:/Users/QuinnMazaris/Desktop/Stacking/DataSet/Good/WL10/WL10_full_10492225072173157_Cam1C2_2025-03-17-02-13-56-14.png,Good,0.405185,10129,0.405185,13,0.926687,0.048034,0.022828,0.001717,0.000733,Bad,Good,1,0,0,109.760095,153.310988,0.154556,0.926687,0.878653,0.092,0.117
WL10,C:/Users/QuinnMazaris/Desktop/Stacking/DataSet/Good/WL10/WL10_full_10492225072174033_Cam1C2_2025-03-17-01-26-50-72.png,Good,0.210735,3079,0.210735,10,0.889093,0.062667,0.038973,0.00707,0.002197,Bad,Good,1,0,0,106.675219,189.473206,0.046982,0.889093,0.826426,0.092,0.117
WL10,C:/Users/QuinnMazaris/Desktop/Stacking/DataSet/Good/WL10/WL10_full_10492225072174033_Cam1C2_2025-03-17-02-11-26-65.png,Good,0.290109,4109,0.290109,14,0.919284,0.043927,0.0285,0.006366,0.001923,Bad,Good,1,0,0,89.09175,193.70017,0.062698,0.919284,0.875357,0.092,0.117
WL10,C:/Users/QuinnMazaris/Desktop/Stacking/DataSet/Good/WL10/WL10_full_10492225072174033_Cam1C2_2025-03-17-02-51-33-59.png,Good,0.217298,4642,0.217298,8,0.85493,0.077822,0.053457,0.010847,0.002944,Bad,Good,1,0,0,79.439466,172.236967,0.070831,0.85493,0.777107,0.092,0.117
